,phone
135,+12 2618 0
136,+15 3557 0
137,+11 3889 0
138,+15 4037 0
139,+13 3051 0
140,+10 4944 0
141,+13 3843 0
142,+11 3097 0
143,+15 3653 0
144,+11 2713 0
145,+15 3341 0
146,+15 2237 0
147,+10 3816 0
148,+13 3603 0
149,+14 3196 0
150,+13 2379 0
151,+11 3649 0
152,+13 2691 0
153,+13 3507 0
154,+10 3168 0
155,+14 4372 0
156,+14 3700 0
157,+15 4181 0
158,+13 2307 0
159,+12 4610 0
160,+15 2429 0
161,+10 3912 0
162,+12 4226 0
163,+14 4780 0
164,+15 2165 0
165,+10 3192 0
166,+12 3170 0
167,+14 4060 0
168,+12 3554 0
169,+12 5018 0
170,+10 2712 0
171,+13 5115 0
172,+12 4682 0
173,+14 3508 0
174,+15 4685 0
175,+10 2880 0
176,+13 3987 0
177,+13 3579 0
178,+12 3842 0
179,+12 2498 0
180,+10 2976 0
181,+12 2570 0
182,+13 3267 0
183,+12 2834 0
184,+13 4419 0
185,+10 2808 0
186,+10 5160 0
187,+12 4322 0
188,+12 4274 0
189,+10 3432 0
190,+15 2765 0
191,+12 4466 0
192,+10 4032 0
193,+13 2643 0
194,+13 3459 0
195,+11 3913 0
196,+13 3963 0
197,+15 3005 0
198,+13 4707 0
199,+13 4923 0
200,+12 5138 0
201,+10 3360 0
202,+13 3411 0
203,+11 3961 0
204,+12 4730 0
205,+10 3408 0
206,+12 4778 0
207,+15 3965 0
208,+11 2977 0
209,+13 4227 0
210,+11 5017 0
211,+12 3458 0
212,+12 2762 0
213,+15 4061 0
214,+10 2856 0
215,+10 5208 0
216,+11 3409 0
217,+10 4968 0
218,+14 3580 0
219,+10 3480 0
220,+14 2956 0
221,+13 4491 0
222,+14 4924 0
223,+12 3530 0
224,+13 2955 0
225,+12 4298 0
226,+14 3532 0
227,+15 4733 0
228,+14 2740 0
229,+10 5136 0
230,+13 4131 0
231,+15 4085 0
232,+11 4969 0
233,+10 3336 0
234,+14 2188 0
235,+12 4370 0
236,+14 3076 0
237,+12 2282 0
238,+11 2353 0
239,+12 4034 0
240,+10 3768 0
241,+14 4156 0
242,+15 4949 0
243,+15 2837 0
244,+14 2236 0
245,+13 2739 0
246,+14 2332 0
247,+14 5236 0
248,+12 3986 0
249,+10 4896 0
250,+14 4708 0
251,+15 3269 0
252,+12 3698 0
253,+14 3436 0
254,+11 4561 0
255,+11 3289 0
256,+14 3628 0
257,+12 4802 0
258,+14 2308 0
259,+10 3288 0
260,+10 4080 0
261,+14 4276 0
262,+14 4660 0
263,+14 4588 0
264,+15 2525 0
265,+12 4754 0
266,+12 4850 0
267,+15 3221 0
268,+14 3388 0
269,+10 4680 0
270,+12 4130 0
271,+14 2836 0
272,+15 2213 0
273,+10 4704 0
274,+11 4369 0
275,+14 4612 0
276,+10 2160 0
277,+15 2909 0
278,+10 5040 0
279,+14 5068 0
280,+11 2881 0
281,+13 3483 0
282,+11 3505 0
283,+12 4394 0
284,+14 5020 0
285,+14 3004 0
286,+14 4852 0
287,+11 4609 0
288,+10 3120 0
289,+14 2356 0
290,+10 2232 0
291,+12 5042 0
292,+13 3147 0
293,+13 3075 0
294,+10 2832 0
295,+11 4945 0
296,+10 2760 0
297,+12 3050 0
298,+10 3072 0
299,+15 3605 0
300,+11 4993 0
301,+14 2716 0
302,+11 3337 0
303,+13 3531 0
304,+13 5211 0
305,+11 3025 0
306,+10 4344 0
307,+15 5213 0
308,+12 2690 0
309,+15 2693 0
310,+14 4132 0
311,+10 4320 0
312,+12 3650 0
313,+12 3122 0
314,+10 3672 0
315,+14 4636 0
316,+14 3844 0
317,+10 2184 0
318,+11 4345 0
319,+12 4490 0
320,+10 2688 0
321,+10 2424 0
322,+13 2979 0
323,+13 4203 0
324,+13 2187 0
325,+14 5044 0
326,+15 2885 0
327,+13 4179 0
328,+13 3315 0
329,+15 4013 0
330,+12 4922 0
331,+12 2522 0
332,+10 3720 0
333,+14 3484 0
334,+13 2523 0
335,+14 2476 0
336,+15 4997 0
337,+11 3697 0
338,+10 4488 0
339,+12 5162 0
340,+14 4228 0
341,+13 4659 0
342,+11 4393 0
343,+13 4323 0
344,+12 3290 0
345,+10 3312 0
346,+11 3625 0
347,+15 3917 0
348,+14 4876 0
349,+12 4202 0
350,+15 2333 0
351,+15 5117 0
352,+14 3820 0
353,+11 5113 0
354,+14 2404 0
355,+14 3052 0
356,+15 3389 0
357,+12 2738 0
358,+13 4635 0
359,+10 3456 0
360,+10 4728 0
361,+15 4493 0
362,+13 4947 0
363,+11 4825 0
364,+11 3049 0
365,+10 3528 0
366,+12 2594 0
367,+13 4851 0
368,+13 3123 0
369,+12 3746 0
370,+10 5016 0
371,+15 2957 0
372,+11 4129 0
373,+10 4752 0
374,+10 3048 0
375,+13 2595 0
376,+12 4082 0
377,+11 4849 0
378,+13 4251 0
379,+10 4224 0
380,+10 3840 0
381,+10 4824 0
382,+11 5065 0
383,+12 3626 0
384,+11 5185 0
385,+11 3481 0
386,+12 5066 0
387,+12 4058 0
388,+11 3601 0
389,+12 2474 0
390,+11 4033 0
391,+12 2714 0
392,+10 3624 0
393,+10 2616 0
394,+15 3677 0
395,+12 4994 0
396,+11 4009 0
397,+15 3077 0
398,+13 2619 0
399,+15 4805 0
400,+15 2501 0
401,+11 2377 0
402,+15 3485 0
403,+10 3696 0
404,+12 3962 0
405,+11 2305 0
406,+13 4083 0
407,+15 4397 0
408,+15 2381 0
409,+13 2571 0
410,+15 2621 0
411,+10 4656 0
412,+11 5137 0
413,+11 5233 0
414,+13 2883 0
415,+10 3240 0
416,+13 3795 0
417,+10 2376 0
418,+12 3890 0
419,+12 4154 0
420,+12 5186 0
421,+14 2788 0
422,+14 2932 0
423,+14 2764 0
424,+13 2403 0
425,+15 2549 0
426,+14 2884 0
427,+11 3385 0
428,+13 2259 0
429,+13 3651 0
430,+11 4705 0
431,+15 3725 0
432,+12 3098 0
433,+11 2953 0
434,+14 2908 0
435,+10 3744 0
436,+10 4560 0
437,+11 3817 0
438,+11 4081 0
439,+11 4777 0
440,+11 4897 0
441,+13 4611 0
442,+15 4109 0
443,+14 4804 0
444,+12 2210 0
445,+11 4441 0
446,+14 4012 0
447,+11 2665 0
448,+10 3504 0
449,+14 3268 0
450,+10 4872 0
451,+14 4996 0
452,+13 2763 0
453,+14 2860 0
454,+10 3936 0
455,+12 3362 0
456,+12 4538 0
457,+13 5091 0
458,+13 4899 0
459,+13 4875 0
460,+15 4517 0
461,+10 4800 0
462,+11 3745 0
463,+12 2354 0
464,+11 2689 0
465,+12 2330 0
466,+10 3960 0
467,+11 4321 0
468,+13 4587 0
469,+10 2448 0
470,+15 3533 0
471,+12 3026 0
472,+11 3985 0
473,+14 3940 0
474,+14 4204 0
475,+15 4445 0
476,+14 2668 0
477,+12 3242 0
478,+10 4848 0
479,+14 4084 0
480,+10 4008 0
481,+11 4873 0
482,+15 2597 0
483,+12 3266 0
484,+15 2453 0
485,+13 2163 0
486,+11 4105 0
487,+11 3577 0
488,+15 3797 0
489,+12 4562 0
490,+10 4176 0
491,+15 4325 0
492,+11 3769 0
493,+12 4442 0
494,+13 2907 0
495,+12 4010 0
496,+13 3003 0
497,+12 4898 0
498,+13 2331 0
499,+14 2620 0
500,+14 3340 0
501,+14 2164 0
502,+10 2928 0
503,+15 3893 0
504,+10 2784 0
505,+11 4537 0
506,+15 5021 0
507,+10 2208 0
508,+13 4443 0
509,+12 3506 0
510,+15 4853 0
511,+12 4970 0
512,+12 3866 0
513,+13 2355 0
514,+12 3410 0
515,+11 4057 0
516,+13 4299 0
517,+14 4108 0
518,+11 2497 0
519,+12 4346 0
520,+15 5189 0
521,+15 4157 0
522,+11 4585 0
523,+15 4421 0
524,+10 4632 0
525,+11 4201 0
526,+15 2477 0
527,+12 4250 0
528,+13 2283 0
529,+14 5212 0
530,+11 2425 0
531,+14 2452 0
532,+15 4973 0
533,+14 4540 0
534,+14 4948 0
535,+13 4467 0
536,+15 3845 0
537,+13 5139 0
538,+15 4637 0
539,+12 5114 0
540,+13 3387 0
541,+13 3939 0
542,+10 2304 0
543,+14 2524 0
544,+13 3243 0
545,+14 2260 0
546,+11 4489 0
547,+14 3652 0
548,+15 4613 0
549,+15 4829 0
550,+15 3245 0
551,+14 2380 0
552,+13 2235 0
553,+10 4512 0
554,+11 3001 0
555,+11 2545 0
556,+10 2568 0
557,+15 2645 0
558,+12 3434 0
559,+14 3676 0
560,+15 3173 0
561,+13 2211 0
562,+14 3028 0
563,+14 2572 0
564,+10 3264 0
565,+12 4586 0
566,+12 2186 0
567,+15 4565 0
568,+13 2787 0
569,+13 3435 0
570,+15 3869 0
571,+15 2717 0
572,+12 2786 0
573,+12 2954 0
574,+10 4584 0
575,+11 4753 0
576,+11 2257 0
577,+15 5141 0
578,+10 3984 0
579,+14 3412 0
580,+15 3461 0
581,+11 4681 0
582,+10 3216 0
583,+14 4564 0
584,+13 3723 0
585,+15 3773 0
586,+15 4253 0
587,+14 3292 0
588,+15 3317 0
589,+15 3989 0
590,+11 4729 0
591,+12 3338 0
592,+15 3701 0
593,+11 3841 0
594,+12 5234 0
595,+13 3339 0
596,+11 3721 0
597,+15 4661 0
598,+11 2161 0
599,+15 5165 0
600,+12 5210 0
601,+14 4180 0
602,+11 2473 0
603,+12 3818 0
604,+12 4514 0
605,+10 5232 0
606,+14 3172 0
607,+12 2258 0
608,+14 2692 0
609,+13 2835 0
610,+10 4128 0
611,+14 2428 0
612,+15 3365 0
613,+10 2328 0
614,+11 4657 0
615,+11 2761 0
616,+14 3796 0
617,+10 2592 0
618,+12 3218 0
619,+14 3916 0
620,+12 4874 0
621,+14 4828 0
622,+11 3433 0
623,+14 2212 0
624,+15 2741 0
625,+14 3100 0
626,+11 2809 0
627,+12 2402 0
628,+15 4469 0
629,+12 4946 0
630,+15 2669 0
631,+15 3749 0
632,+10 4536 0
633,+10 4416 0
634,+10 3888 0
635,+10 3024 0
636,+13 4347 0
637,+12 5090 0
638,+13 3627 0
639,+11 2857 0
640,+13 4995 0
641,+13 3219 0
642,+11 3793 0
643,+14 5140 0
644,+13 2715 0
645,+12 2882 0
646,+11 2329 0
647,+10 2640 0
648,+12 4634 0
649,+15 4301 0
650,+12 3794 0
651,+14 3148 0
652,+10 4920 0
653,+15 4709 0
654,+10 3000 0
655,+11 4273 0
656,+14 4324 0
657,+11 5209 0
658,+11 3313 0
659,+12 2906 0
660,+14 4516 0
661,+12 2162 0
662,+10 2904 0
663,+15 4781 0
664,+10 4104 0
665,+13 3171 0
666,+10 5064 0
667,+15 3821 0
668,+11 2521 0
669,+11 3217 0
670,+11 3529 0
671,+10 4440 0
672,+11 2737 0
673,+13 2451 0
674,+15 4133 0
675,+14 3316 0
676,+14 4468 0
677,+11 2233 0
678,+11 2401 0
679,+11 3553 0
680,+13 3915 0
681,+14 4732 0
682,+13 5163 0
683,+10 4248 0
684,+13 5043 0
685,+12 4178 0
686,+11 3937 0
687,+13 3555 0
688,+14 2644 0
689,+15 2189 0
690,+15 2309 0
691,+14 2500 0
692,+15 2573 0
693,+10 3576 0
694,+15 5093 0
695,+12 3074 0
696,+11 3145 0
697,+12 3482 0
698,+12 3770 0
699,+13 5019 0
700,+15 3581 0
701,+15 5069 0
702,+14 3460 0
703,+14 4492 0
704,+13 5235 0
705,+15 3293 0
706,+13 2931 0
707,+15 3437 0
708,+12 2426 0
709,+10 2256 0
710,+14 5188 0
711,+10 3600 0
712,+12 4826 0
713,+11 5161 0
714,+14 4900 0
715,+15 4589 0
716,+11 2929 0
717,+12 2810 0
718,+12 3386 0
719,+11 4513 0
720,+12 3914 0
721,+11 2617 0
722,+11 4465 0
723,+12 2978 0
724,+10 3096 0
725,+13 2859 0
726,+14 3220 0
727,+13 3771 0
728,+13 2811 0
729,+13 4755 0
730,+15 4541 0
731,+15 2813 0
732,+13 4059 0
733,+11 3073 0
734,+12 2450 0
735,+10 2496 0
736,+13 4371 0
737,+11 3241 0
738,+13 2499 0
739,+12 3602 0
740,+13 4155 0
741,+14 2548 0
742,+12 2546 0
743,+12 2930 0
744,+11 2209 0
745,+10 4152 0
746,+14 4972 0
747,+13 3699 0
748,+10 2520 0
749,+10 4056 0
750,+12 3194 0
751,+10 2472 0
752,+10 4296 0
753,+12 3002 0
754,+10 4368 0
755,+13 5187 0
756,+14 3556 0
757,+14 5164 0
758,+12 2642 0
759,+11 2641 0
760,+10 3144 0
761,+15 3053 0
762,+14 3748 0
763,+11 4921 0
764,+14 2812 0
765,+14 4684 0
766,+11 4153 0
767,+13 2667 0
768,+15 3029 0
769,+11 4249 0
770,+15 4901 0
771,+13 4779 0
772,+14 4420 0
773,+13 4971 0
774,+15 2789 0
775,+15 2861 0
776,+12 2234 0
777,+15 3349 0
778,+15 5269 0
779,+13 3323 0
780,+13 4235 0
781,+11 2721 0
782,+11 3273 0
783,+15 4645 0
784,+13 5171 0
785,+14 3348 0
786,+10 3656 0
787,+11 4377 0
788,+12 4690 0
789,+14 4812 0
790,+12 3538 0
791,+10 2552 0
792,+14 4596 0
793,+13 3611 0
794,+11 4113 0
795,+11 2241 0
796,+11 5001 0
797,+11 5217 0
798,+14 3012 0
799,+12 3490 0
800,+14 4116 0
801,+12 4834 0
802,+12 3874 0
803,+14 3300 0
804,+14 3684 0
805,+11 3537 0
806,+15 5293 0
807,+14 2244 0
808,+10 3200 0
809,+10 3392 0
810,+12 3394 0
811,+12 4258 0
812,+14 3228 0
813,+11 2313 0
814,+11 4905 0
815,+13 3539 0
816,+15 4525 0
817,+11 2505 0
818,+12 2890 0
819,+15 3109 0
820,+12 4426 0
821,+15 2941 0
822,+15 4237 0
823,+14 4236 0
824,+15 2557 0
825,+10 5096 0
826,+12 3418 0
827,+15 2701 0
828,+13 3251 0
829,+13 2387 0
830,+14 2580 0
831,+15 3445 0
832,+15 4573 0
833,+12 2290 0
834,+10 4784 0
835,+11 3561 0
836,+15 5053 0
837,+10 3800 0
838,+13 3803 0
839,+10 4280 0
840,+11 4977 0
841,+14 2748 0
842,+15 3949 0
843,+12 2554 0
844,+10 3152 0
845,+10 2576 0
846,+11 4353 0
847,+10 3416 0
848,+10 4760 0
849,+12 4498 0
850,+15 4141 0
851,+11 2385 0
852,+10 4304 0
853,+12 4402 0
854,+10 5240 0
855,+13 4019 0
856,+14 5220 0
857,+11 2865 0
858,+14 5148 0
859,+11 5265 0
860,+12 4594 0
861,+13 3203 0
862,+15 3397 0
863,+15 3253 0
864,+15 5245 0
865,+13 4739 0
866,+11 3681 0
867,+11 2889 0
868,+13 3659 0
869,+11 2433 0
870,+10 4088 0
871,+10 4472 0
872,+11 3513 0
873,+15 4597 0
874,+10 4112 0
875,+12 3058 0
876,+14 3828 0
877,+12 2362 0
878,+15 3997 0
879,+14 3924 0
880,+15 4213 0
881,+13 4211 0
882,+14 3708 0
883,+12 4738 0
884,+11 2217 0
885,+13 3587 0
886,+12 3994 0
887,+14 2868 0
888,+15 2245 0
889,+11 5073 0
890,+14 2916 0
891,+11 3873 0
892,+14 2484 0
893,+14 3468 0
894,+14 3780 0
895,+15 4789 0
896,+11 2937 0
897,+13 4259 0
898,+13 4835 0
899,+15 3085 0
900,+12 3946 0
901,+14 4404 0
902,+14 3588 0
903,+11 4809 0
904,+14 2628 0
905,+12 4018 0
906,+15 2269 0
907,+11 3249 0
908,+10 3560 0
909,+11 5145 0
910,+10 4952 0
911,+12 2458 0
912,+14 3972 0
913,+12 2314 0
914,+13 5195 0
915,+10 4424 0
916,+14 2436 0
917,+10 5288 0
918,+13 2435 0
919,+11 2601 0
920,+13 3347 0
921,+15 2341 0
922,+12 3130 0
923,+11 4929 0
924,+11 2289 0
925,+11 3297 0
926,+14 3036 0
927,+15 4741 0
928,+14 4188 0
929,+15 4549 0
930,+10 5144 0
931,+11 4041 0
932,+15 5077 0
933,+13 3875 0
934,+13 3275 0
935,+12 2722 0
936,+14 2532 0
937,+13 3899 0
938,+15 4021 0
939,+12 5074 0
940,+12 3970 0
941,+14 2268 0
942,+13 4571 0
943,+14 4908 0
944,+15 3037 0
945,+15 2797 0
946,+12 2434 0
947,+15 5173 0
948,+12 2602 0
949,+13 4187 0
950,+14 5244 0
951,+10 4496 0
952,+14 2700 0
953,+14 2652 0
954,+13 3851 0
955,+14 4212 0
956,+13 3923 0
957,+11 3945 0
958,+10 3056 0
959,+15 4357 0
960,+10 2864 0
961,+13 2363 0
962,+12 3586 0
963,+13 4331 0
964,+13 4931 0
965,+11 4257 0
966,+13 5291 0
967,+13 2915 0
968,+15 2893 0
969,+14 3372 0
970,+11 4473 0
971,+11 2457 0
972,+15 2293 0
973,+14 4428 0
974,+13 5267 0
975,+10 3920 0
976,+14 4452 0
977,+10 2960 0
978,+12 2794 0
979,+10 3896 0
980,+13 4979 0
981,+15 3973 0
982,+13 4475 0
983,+12 4882 0
984,+11 3177 0
985,+14 3564 0
986,+15 5005 0
987,+12 3466 0
988,+10 4544 0
989,+10 2384 0
990,+12 2506 0
991,+12 3034 0
992,+13 3947 0
993,+13 4427 0
994,+12 4786 0
995,+15 2677 0
996,+14 4356 0
997,+14 3396 0
998,+11 2961 0
999,+15 3565 0
1000,+11 2673 0
1001,+11 4617 0
1002,+12 5050 0
1003,+14 3060 0
1004,+14 4668 0
1005,+12 3154 0
1006,+10 5264 0
1007,+12 3322 0
1008,+14 4644 0
1009,+15 3925 0
1010,+14 4524 0
1011,+11 4833 0
1012,+14 3180 0
1013,+13 5123 0
1014,+10 2936 0
1015,+12 2674 0
1016,+15 4045 0
1017,+11 4497 0
1018,+11 3153 0
1019,+13 4595 0
1020,+10 2648 0
1021,+11 3969 0
1022,+13 4115 0
1023,+14 2556 0
1024,+15 3637 0
1025,+12 3178 0
1026,+11 3441 0
1027,+15 4189 0
1028,+13 2315 0
1029,+12 3778 0
1030,+10 4712 0
1031,+15 5149 0
1032,+13 4811 0
1033,+12 2962 0
1034,+12 5026 0
1035,+12 3010 0
1036,+10 3104 0
1037,+14 4764 0
1038,+15 5101 0
1039,+11 2985 0
1040,+11 3417 0
1041,+12 5122 0
1042,+11 2481 0
1043,+10 4184 0
1044,+13 2795 0
1045,+10 2624 0
1046,+14 3276 0
1047,+15 4285 0
1048,+15 4261 0
1049,+10 4736 0
1050,+13 3779 0
1051,+10 4352 0
1052,+12 2266 0
1053,+14 3756 0
1054,+14 4884 0
1055,+11 4401 0
1056,+13 2963 0
1057,+13 2507 0
1058,+14 2964 0
1059,+10 2600 0
1060,+11 3009 0
1061,+11 4017 0
1062,+12 3106 0
1063,+14 4164 0
1064,+14 2772 0
1065,+12 4978 0
1066,+10 3080 0
1067,+10 4568 0
1068,+14 4932 0
1069,+11 2841 0
1070,+11 3753 0
1071,+13 2939 0
1072,+14 2940 0
1073,+10 3968 0
1074,+14 3108 0
1075,+11 4761 0
1076,+10 3704 0
1077,+12 4138 0
1078,+10 2888 0
1079,+12 3730 0
1080,+13 5147 0
1081,+10 5192 0
1082,+12 5218 0
1083,+14 3492 0
1084,+15 4885 0
1085,+14 2340 0
1086,+13 2723 0
1087,+10 2984 0
1088,+15 3541 0
1089,+14 5100 0
1090,+11 5097 0
1091,+12 3898 0
1092,+11 5193 0
1093,+13 2843 0
1094,+14 4068 0
1095,+14 2844 0
1096,+14 2364 0
1097,+14 3540 0
1098,+15 3709 0
1099,+10 3608 0
1100,+14 3660 0
1101,+10 4232 0
1102,+11 2913 0
1103,+15 4405 0
1104,+14 5292 0
1105,+11 4737 0
1106,+15 4165 0
1107,+15 2581 0
1108,+12 4090 0
1109,+11 3897 0
1110,+15 3013 0
1111,+11 4209 0
1112,+14 4620 0
1113,+13 5243 0
1114,+13 4619 0
1115,+13 2651 0
1116,+15 2773 0
1117,+15 4837 0
1118,+12 5194 0
1119,+10 4328 0
1120,+12 5002 0
1121,+10 4016 0
1122,+13 3443 0
1123,+10 4400 0
1124,+13 2243 0
1125,+11 3465 0
1126,+10 3584 0
1127,+12 3226 0
1128,+11 3489 0
1129,+11 3057 0
1130,+12 2578 0
1131,+10 2288 0
1132,+11 5169 0
1133,+15 4861 0
1134,+15 2533 0
1135,+13 3083 0
1136,+10 3512 0
1137,+14 3516 0
1138,+15 3277 0
1139,+13 5099 0
1140,+10 3248 0
1141,+11 2265 0
1142,+15 3133 0
1143,+13 3155 0
1144,+14 4500 0
1145,+15 2389 0
1146,+12 4618 0
1147,+10 4688 0
1148,+12 3922 0
1149,+11 4137 0
1150,+10 2312 0
1151,+13 2771 0
1152,+10 4208 0
1153,+11 2817 0
1154,+15 4717 0
1155,+14 3900 0
1156,+10 4256 0
1157,+12 4522 0
1158,+13 5219 0
1159,+13 4859 0
1160,+13 4523 0
1161,+12 3850 0
1162,+13 4787 0
1163,+14 2220 0
1164,+11 3129 0
1165,+11 2409 0
1166,+15 3661 0
1167,+15 3853 0
1168,+11 4689 0
1169,+11 4569 0
1170,+15 3157 0
1171,+13 2291 0
1172,+11 2361 0
1173,+15 3757 0
1174,+14 5004 0
1175,+15 3301 0
1176,+11 2553 0
1177,+12 3514 0
1178,+13 4955 0
1179,+13 5075 0
1180,+14 5076 0
1181,+14 3804 0
1182,+12 5290 0
1183,+15 3901 0
1184,+10 2672 0
1185,+13 5027 0
1186,+12 3610 0
1187,+12 2842 0
1188,+13 4355 0
1189,+14 2796 0
1190,+14 2724 0
1191,+12 2242 0
1192,+15 2965 0
1193,+11 4665 0
1194,+14 5124 0
1195,+15 4933 0
1196,+10 4808 0
1197,+14 4788 0
1198,+11 4329 0
1199,+12 3082 0
1200,+11 3201 0
1201,+12 2914 0
1202,+11 4449 0
1203,+15 4621 0
1204,+11 2745 0
1205,+10 2744 0
1206,+15 2413 0
1207,+13 3971 0
1208,+13 2747 0
1209,+10 2264 0
1210,+12 2626 0
1211,+14 4020 0
1212,+11 4425 0
1213,+11 3921 0
1214,+11 4065 0
1215,+13 4139 0
1216,+10 3296 0
1217,+11 3849 0
1218,+10 2840 0
1219,+12 3202 0
1220,+14 3732 0
1221,+15 3325 0
1222,+14 2412 0
1223,+12 4306 0
1224,+13 3035 0
1225,+15 2317 0
1226,+15 2917 0
1227,+15 2653 0
1228,+12 4042 0
1229,+11 4281 0
1230,+13 4283 0
1231,+15 3589 0
1232,+11 4161 0
1233,+11 3081 0
1234,+14 2892 0
1235,+10 2912 0
1236,+14 2292 0
1237,+12 2482 0
1238,+13 3227 0
1239,+11 4089 0
1240,+12 4570 0
1241,+10 2360 0
1242,+10 2480 0
1243,+15 4309 0
1244,+10 2216 0
1245,+15 4813 0
1246,+11 3777 0
1247,+14 4044 0
1248,+10 5216 0
1249,+13 2627 0
1250,+11 3393 0
1251,+11 2529 0
1252,+15 2749 0
1253,+15 4981 0
1254,+13 2699 0
1255,+12 2866 0
1256,+15 2437 0
1257,+14 5028 0
1258,+10 4160 0
1259,+10 2768 0
1260,+15 3205 0
1261,+12 4714 0
1262,+15 2629 0
1263,+15 2869 0
1264,+10 3272 0
1265,+10 5024 0
1266,+11 2649 0
1267,+10 3536 0
1268,+13 3371 0
1269,+12 3826 0
1270,+15 5029 0
1271,+14 4140 0
1272,+14 2820 0
1273,+14 2460 0
1274,+10 4064 0
1275,+12 4546 0
1276,+12 4642 0
1277,+15 2821 0
1278,+10 4520 0
1279,+13 4379 0
1280,+14 4836 0
1281,+13 5003 0
1282,+11 5289 0
1283,+15 2485 0
1284,+10 3320 0
1285,+13 2891 0
1286,+12 2986 0
1287,+12 4162 0
1288,+15 4669 0
1289,+13 4451 0
1290,+14 5196 0
1291,+15 4429 0
1292,+11 3657 0
1293,+10 3872 0
1294,+10 2528 0
1295,+14 3324 0
1296,+10 3344 0
1297,+10 5168 0
1298,+14 3636 0
1299,+15 2605 0
1300,+12 2938 0
1301,+15 2221 0
1302,+14 3876 0
1303,+10 2504 0
1304,+14 2988 0
1305,+15 3877 0
1306,+14 3444 0
1307,+13 3107 0
1308,+13 3755 0
1309,+11 4545 0
1310,+14 3852 0
1311,+13 3731 0
1312,+14 4692 0
1313,+13 3707 0
1314,+14 3996 0
1315,+10 2720 0
1316,+12 2770 0
1317,+15 3373 0
1318,+13 3491 0
1319,+13 2579 0
1320,+12 2530 0
1321,+11 3609 0
1322,+11 4521 0
1323,+14 3204 0
1324,+13 3419 0
1325,+10 3944 0
1326,+12 4378 0
1327,+13 4643 0
1328,+12 4858 0
1329,+15 4333 0
1330,+13 4499 0
1331,+12 5146 0
1332,+13 3011 0
1333,+13 2555 0
1334,+10 3752 0
1335,+10 5000 0
1336,+15 3469 0
1337,+11 5121 0
1338,+15 3061 0
1339,+10 3824 0
1340,+14 4308 0
1341,+12 3442 0
1342,+10 3848 0
1343,+10 5048 0
1344,+13 2411 0
1345,+11 4953 0
1346,+14 4980 0
1347,+12 3346 0
1348,+11 3369 0
1349,+11 4185 0
1350,+10 4976 0
1351,+12 2218 0
1352,+13 3467 0
1353,+15 3829 0
1354,+15 3805 0
1355,+10 4856 0
1356,+14 4092 0
1357,+11 3105 0
1358,+12 4474 0
1359,+14 2316 0
1360,+11 4785 0
1361,+13 3515 0
1362,+15 2989 0
